n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
418,417,128,111,3.281,0.958874,0.00265685
419,418,128,111,3.199,0.958894,0.00275682
420,419,128,111,3.113,0.958911,0.00242460
421,420,128,111,3.104,0.958634,0.00219397
422,421,128,111,3.101,0.958643,0.00313613
423,422,128,111,3.203,0.958454,0.00237804
424,423,128,111,3.178,0.958437,0.00268371
425,424,128,111,3.106,0.958412,0.00272484
426,425,128,111,3.210,0.958323,0.00219365
427,426,128,111,3.219,0.958601,0.00404785
428,427,128,111,3.201,0.958589,0.00246110
429,428,128,111,3.098,0.958457,0.00197773
430,429,128,111,3.103,0.958452,0.00282498
431,430,128,111,3.115,0.958605,0.00362508
432,431,128,111,3.125,0.958701,0.00436267
433,432,128,111,3.099,0.958840,0.00327915
434,433,128,111,3.099,0.959033,0.00318909
435,434,128,111,3.112,0.959258,0.00281490
436,435,128,111,3.083,0.959574,0.00364382
437,436,128,111,3.103,0.959893,0.00383506
438,437,128,111,3.103,0.960316,0.00313365
439,438,128,111,3.101,0.960461,0.00262164
440,439,128,111,3.104,0.960445,0.00268091
441,440,128,111,3.100,0.960420,0.00249080
442,441,128,111,3.109,0.960555,0.00313974
443,442,128,111,3.100,0.960713,0.00283993
444,443,128,111,3.095,0.960567,0.00260429
445,444,128,111,3.103,0.960479,0.00253305
446,445,128,111,3.102,0.960334,0.00250493
447,446,128,111,3.098,0.960612,0.00302483
448,447,128,111,3.102,0.960751,0.00293575
449,448,128,111,3.101,0.960760,0.00255230
450,449,128,111,3.107,0.960603,0.00262708
451,450,128,111,3.094,0.960657,0.00263613
452,451,128,111,3.103,0.960691,0.00305221
453,452,128,111,3.104,0.960753,0.00223750
454,453,128,111,3.109,0.960695,0.00204801
455,454,128,111,3.092,0.960700,0.00219672
456,455,128,111,3.108,0.960600,0.00221504
457,456,128,111,3.094,0.960813,0.00270465
458,457,128,111,3.109,0.960772,0.00248715
459,458,128,111,3.093,0.960644,0.00219668
460,459,128,111,3.105,0.960544,0.00217507
461,460,128,111,3.100,0.960481,0.00230834
462,461,128,111,3.097,0.960290,0.00186162
463,462,128,111,3.103,0.960094,0.00289732
464,463,128,111,3.109,0.960003,0.00182924
465,464,128,111,3.097,0.959921,0.00232374
466,465,128,111,3.101,0.959842,0.00225842
467,466,128,111,3.099,0.959955,0.00204299
468,467,128,111,3.111,0.959915,0.00250944
469,468,128,111,3.094,0.959754,0.00222547
470,469,128,111,3.104,0.959602,0.00209676
471,470,128,111,3.100,0.959486,0.00195917
472,471,128,111,3.110,0.959379,0.00194641
473,472,128,111,3.099,0.959203,0.00248224
474,473,128,111,3.197,0.959126,0.00243055
475,474,128,111,3.109,0.959092,0.00216481
476,475,128,111,3.098,0.959076,0.00184597
477,476,128,111,3.197,0.959108,0.00196952
478,477,128,111,3.109,0.959189,0.00225838
479,478,128,111,3.104,0.959045,0.00188002
480,479,128,111,3.100,0.959068,0.00209565
481,480,128,111,3.191,0.959021,0.00205736
482,481,128,111,3.116,0.959062,0.00218726
483,482,128,111,3.091,0.959265,0.00223478
484,483,128,111,3.101,0.959142,0.00250736
485,484,128,111,3.104,0.958919,0.00174197
486,485,128,111,3.106,0.958889,0.00248598
487,486,128,111,3.099,0.958881,0.00270030
488,487,128,111,3.102,0.958770,0.00248674
489,488,128,111,3.099,0.958524,0.00224731
490,489,128,111,3.107,0.958413,0.00282793
491,490,128,111,3.109,0.958310,0.00265590
492,491,128,111,3.096,0.958309,0.00247560
493,492,128,111,3.095,0.958157,0.00209013
494,493,128,111,3.105,0.958180,0.00266002
495,494,128,111,3.102,0.958048,0.00197335
496,495,128,111,3.093,0.958022,0.00253011
497,496,128,111,3.100,0.957945,0.00227016
498,497,128,111,3.102,0.958095,0.00288570
499,498,128,111,3.104,0.958047,0.00198595
500,499,128,111,3.097,0.958002,0.00227041
501,500,128,111,3.103,0.957980,0.00365562
502,501,128,111,3.100,0.958120,0.00325789
503,502,128,111,3.105,0.958349,0.00277075
504,503,128,111,3.107,0.958285,0.00276269
505,504,128,111,3.097,0.958257,0.00313772
506,505,128,111,3.104,0.958253,0.00298133
507,506,128,111,3.100,0.958253,0.00463543
508,507,128,111,3.102,0.958369,0.00238985
509,508,128,111,3.099,0.958300,0.00216656
510,509,128,111,3.107,0.958368,0.00264733
511,510,128,111,3.099,0.958489,0.00254392
512,511,128,111,3.097,0.958397,0.00206968
513,512,128,111,3.107,0.958281,0.00281248
514,513,128,111,3.110,0.958020,0.00208712
515,514,128,111,3.088,0.958311,0.00255253
516,515,128,111,3.201,0.958446,0.00251012
517,516,128,111,3.096,0.958696,0.00386259
518,517,128,111,3.101,0.958670,0.00187460
519,518,128,111,3.103,0.958897,0.00279164
520,519,128,111,3.105,0.959095,0.00208430
